State,Year,Slab,MultiBeam,GirderFloorBeamSystem,TeaBeam,BoxBeamMultiple,ArchDeck,Culvert,TrussThru,Frame,BoxBeamSingle,TrussDeck
NEW HAMPSHIRE,2010,0.2534776345748478,0.25515570092309486,0.4179131725493233,0.45586698786820223,0.18653126422050728,0.5420648340234748,0.09761189398107005,0.342191750662139,0.2968956549685466,0.3547408343868521,0.8176229993118457
NEW JERSEY,2010,0.32487530428775857,0.3127263899164562,0.6237762427089102,0.6814449469021628,0.21654826079212727,0.4439246925852709,0.17667692012578187,0.406083493459546,0.4951676615697121,0.3064990539594299,0.9942952344219591
NEW MEXICO,2010,0.12338851448203357,0.1605720769800764,0.12535126537944902,0.34904326851646644,0.28342914573471584,0.2477277366024161,0.20857538933092837,0.8799012301041325,0.030452375182742214,0.14711646709864848,0.02749584754384108
NEW YORK,2010,0.479728949765738,0.5448627542341387,0.8705611084448583,0.6494421691327672,0.3305701433910996,0.7361768645988758,0.1634088414486411,0.7743260104965277,0.7174532510724729,0.4623486295266804,0.3550230591343344
NORTH CAROLINA,2010,0.15034883361872103,0.24306485354038176,0.8801462084203622,0.6562513983217517,0.049825449355743616,0.6369238230933605,0.3506592324914273,0.9229519051345333,0.6443607655051161,0.12711265967838098,0.9446591629910458
NORTH DAKOTA,2010,0.08088725971982604,0.13960644248879553,0.00996515309203971,0.09423718448154993,0.044807297113317615,1.0,0.026792051100070973,0.6546750774585527,0.0,0.09386558097060417,0.0
OHIO,2010,0.17614018515202268,0.38697641566465646,0.28167821335420423,0.35399272077015154,0.13646769486577254,0.46098936462556833,0.24359311918553625,0.5191496856925255,0.20484992008383754,0.0,0.7226925217084292
OKLAHOMA,2010,0.4217003102705439,0.24937172980243016,0.34551358109803165,0.07240119545420938,0.5096840174734958,0.8012675878264077,0.08852089982414803,0.7713121239916897,0.5920527229713369,0.922098548460587,0.0
OREGON,2010,0.14677001521411992,0.3233638992853176,0.6396582184884118,0.10113290023601841,0.2766184592667197,0.6591161773361786,0.09422421053355037,0.6514732832169606,0.2778730441015128,0.34490567458779814,0.5617947955181647
PENNSYLVANIA,2010,0.3509104168387313,0.4105317156514507,0.7210551720593951,0.5215074490027563,0.43220645346258435,0.6422546877145143,0.13239913949911533,0.7530085983867718,0.5862606725059801,0.29689779955047496,0.6888934291617684
RHODE ISLAND,2010,0.528094472248164,0.6490963786802725,0.8232056233254254,0.5192482348758064,0.4829071465739493,0.3621622650776435,0.1845700874125441,0.8577437911832986,0.6721251166598569,0.0,0.0
SOUTH CAROLINA,2010,0.10536414665632607,0.17835943126620465,1.0,0.43181136270534276,0.4842154664772493,0.656769880865721,0.07954701568998959,0.1334375895914571,0.5307889708060893,0.0697120501801004,0.0
SOUTH DAKOTA,2010,0.1223017738419302,0.1805767731200678,0.2011698302866619,0.11804056132967967,0.272905622621237,0.800922531046718,0.40567890971189785,0.7364154898294577,0.0,0.39776817854571633,0.13592107808369333
TENNESSEE,2010,0.41086731411441374,0.19075124258667764,0.1502584373444372,0.3376448487868819,0.15613049085733927,0.645559986601022,0.11244769504852853,0.40561734180690756,0.3597196120064382,0.1287266925776781,0.8816938382109346
TEXAS,2010,0.2512025563782918,0.23411080564500858,0.5490364085646567,0.24953724375444383,0.36144359459496095,0.7972140134515395,0.12390435745183628,0.7621727766090071,0.6136829212958274,0.6764710428711501,0.9059051246020449
UTAH,2010,0.22512172799707902,0.1420186978835692,0.34637326199178564,0.30281598712573204,0.16931148459570605,0.14289903312104815,0.3366614073065343,0.39716990493579696,0.12968924936978898,1.0,0.8088017141915279
VERMONT,2010,0.18205888694934863,0.235471026455528,0.6079443659348521,0.3794960818023168,0.1975483151722694,0.1513619837642184,0.2930191530534795,0.85812543904144,0.022515812425292672,0.43346007604562736,0.5479699657160277
VIRGINIA,2010,0.19202488278419322,0.22307774808519015,0.49715248677495033,0.5753680756696407,0.2301277391066771,0.44151325143551573,0.2762977183351866,0.921886943366359,0.32980976838202397,0.15178657156573624,0.37406357891701203
WASHINGTON,2010,0.27995397657592824,0.2805086149638489,0.6295238289817172,0.33127853130329776,0.4584707430710449,0.450769999178015,0.21999208690382585,0.47865360705636,0.14071976442613987,0.48501852168041815,0.8678816628707217
WEST VIRGINIA,2010,0.5262032725075914,0.21662362886566433,0.3528154229823886,0.6005546030107813,0.2517569706466528,0.5941450022135037,0.18976188174842465,0.3285104239256568,0.3819803362355414,0.1759609989004181,0.2975621435247134
WISCONSIN,2010,0.11230010384169521,0.15205258327601787,0.06607153703817698,0.1120647485213679,0.25571502920295713,0.2650476638063976,0.12693298856575175,0.7607522827431773,0.14141356992607276,0.0,0.317443322442716
WYOMING,2010,0.27552915195720123,0.19580831056727116,0.5173854256185875,0.22564041913306515,0.34866466229585635,0.5675572965388214,0.08625450805372789,0.8840251005342307,0.39548896644177717,0.32271286257014653,0.29350235499215
PUERTO RICO,2010,0.7030414570356622,0.3246266218301434,0.5373488167162724,0.5379462126449289,0.3995922100412186,0.47109780235080956,0.2693983472770245,0.6314645563976817,0.4476502627381306,0.0707436981537436,0.6608329075114971
ALABAMA,2011,0.19859697486495398,0.1758845847905512,0.21490646198601704,0.39483931670805117,0.2641655118906186,0.7753373883404551,0.1264107336477827,0.8975913128595944,0.6216469795515823,0.600047795691704,0.6525967672970864
ALASKA,2011,0.34489689239695775,0.2989775024796958,0.40631138711108294,0.14758352866670782,0.2580636238854065,0.1505793078170921,0.32601103583152896,0.5219297687445362,0.0,0.0,0.09749243135277344
ARIZONA,2011,0.1853549987929552,0.24414074723345106,0.6908938589097174,0.4047533455617928,0.20036455048964816,0.40308148712674224,0.06183539586421255,0.9288282115698565,0.32633539142901213,0.286510165412366,0.577304797127934
ARKANSAS,2011,0.16235010762523627,0.20659358878020345,0.2699257432852421,0.24901129013995088,0.42351969166728165,0.37467602533575173,0.10828071741978684,0.48964537366303407,0.11880556178481723,0.0,0.9261820280556149
CALIFORNIA,2011,0.26041969712357044,0.5337771031767875,0.888383038482887,0.4509292939514907,0.35166539024101556,0.5685762470839185,0.09644996149572717,0.5941605335318062,0.40013360761454386,0.3203863231587779,0.7860745858821603
COLORADO,2011,0.13036548654459024,0.22404738474664052,0.2722995321891033,0.308450984413834,0.21932435473640985,0.5391917608975169,0.03967497764884547,0.5700711608558477,0.34110199210333275,0.1840670741302642,0.7723553922142372
CONNECTICUT,2011,0.33158011296098494,0.40282603107145204,0.9573478103066234,0.5860295579998795,0.3345793095013888,0.5228126943915097,0.14138277223226256,0.7949217206336506,0.6424750947704136,0.24283989304242828,0.529455105400466
DELAWARE,2011,0.06329461421669469,0.19274768807708834,0.11195124010087011,0.08809059446148752,0.1546682134699609,0.7682967664914758,0.07935262798568159,0.019628516576652825,0.0,0.7967555745027896,1.0
DIST. OF COL.,2011,0.5225968347039678,0.783021594708044,0.848310205551826,1.0,0.522447716205403,0.857000723243695,0.0,0.0,0.6483409847904038,1.0,0.0
FLORIDA,2011,0.13824042271476653,0.14915107491540489,0.6608532204979135,0.5530564990881245,0.07427725999586905,0.336495893695139,0.12430614190870237,0.7265566606284126,0.42067115331928207,0.11456368524625533,0.0
GEORGIA,2011,0.2962526191325551,0.15576087561021001,0.5867068555992423,0.16897708309799217,0.07497192634216883,0.45541552634393057,0.14668478126536838,0.978977573701689,0.3502287421712781,0.15643442119664872,0.9181831932860771
HAWAII,2011,0.471837503013822,0.07651871626630127,0.46770170343649564,0.4846456053098871,0.16242063210384014,0.8076760924821585,0.17354478711199553,1.0,0.30512983866625987,0.0,0.05833134114272054
IDAHO,2011,0.12557789487748255,0.21699332151810127,0.17537401151420268,0.20246907411866968,0.05892536258711028,0.16821432716715412,0.06178594750078252,0.789666830572533,0.10055232768541703,0.5526499756694333,0.17490154798938246
ILLINOIS,2011,0.27570485607957923,0.29692314496532335,0.7313030353575132,0.34921535025690753,0.11282829728549723,0.6607073405109153,0.08907693290052733,0.6860599049439884,0.3158476426836943,0.05763403611459515,0.021497970354441943
INDIANA,2011,0.11671510990765549,0.2617840685512543,0.37551346019730003,0.17893165317720164,0.1912077640774795,0.455705857327822,0.22445524319279972,0.6364389474322188,0.23362855243657923,0.08322483645246347,0.7158533088094489
IOWA,2011,0.09813747313311853,0.1999644254381404,0.23600421163992596,0.132656255378559,0.39155746598781405,0.4625695683705315,0.6031772445725622,0.8134101366315069,0.4035015028960839,0.0,1.0
KANSAS,2011,0.08342572511328973,0.1739320725461821,0.44531405242093847,0.12965035540893374,0.47687863938627606,0.4292538995850573,0.06955017556144256,0.8370950471240082,0.056870228282571156,1.0,0.9975028692049657
KENTUCKY,2011,0.4630642418890887,0.19647465997397023,0.1954259158205871,0.36385093189189377,0.2641956525290771,0.7745550301982956,0.2655415193434288,0.5915866624354565,0.14953326557735908,0.1794975957000369,0.9315679938442561
LOUISIANA,2011,0.17576709244498973,0.23455783093401672,0.559675865088233,0.6704594871563839,0.09176915998388634,0.11625418157067759,0.2658492925898578,0.534684831968944,0.0,0.6673861111575149,0.420731333053717
MAINE,2011,0.22663036690443916,0.284284926989519,0.5246897566502691,0.39013725308602554,0.4771517344688035,0.20804822052754388,0.3419393437341801,0.9447294706793729,0.36396046083734157,0.018311160084911925,0.20978010570882027
MARYLAND,2011,0.28959214906312014,0.23284188381771004,0.31625233372040173,0.4739489240581985,0.14472999834914357,0.5056180971232854,0.19932412753769754,0.3388029229294752,0.31351878352292467,0.5305054574658915,0.8430565954454462
MASSACHUSETTS,2011,0.47712171953765936,0.5921284625880177,0.7256987482708906,0.4537561867566319,0.34670452496550735,0.6572161583010611,0.22709872808723333,0.9327990390689046,0.6535388286690283,0.4929679772683283,0.6314088531351623
MICHIGAN,2011,0.3077130688012227,0.382006213124626,0.44767663580105244,0.36163594679568706,0.1994848520196009,0.4354249524284815,0.23006455464630796,0.4730682790184945,0.7638219097832455,0.37912162597793203,0.03587285117081882
MINNESOTA,2011,0.09676871037912436,0.09550066375865224,0.48830701178406866,0.16544319899831497,0.2453303500035888,0.293973905394461,0.12324240346881904,0.37788164914828454,0.13611027502764442,0.0,0.21498746204478122
MISSISSIPPI,2011,0.18616099131391559,0.13088878201523566,0.3625205098026576,0.5867734336465049,0.08257649302281853,0.5473621700636202,0.12138371924666155,0.7220785623627367,0.6003549241963325,0.3372477057449644,0.0
MISSOURI,2011,0.3240809171284003,0.22879662804778353,0.7124504669011086,0.27438874796280827,0.10159171712579805,0.8043966418166425,0.11915959000283526,0.5999704998350699,0.27337625005478455,0.5696049280666164,0.941739516016545
MONTANA,2011,0.34748089091741263,0.1626771098674003,0.5306550925357836,0.09476919847434005,0.006994003901835059,0.1775972611266729,0.03866285145011228,0.6953962618738074,0.04014410328621327,0.0,0.28603633843411497
NEBRASKA,2011,0.05843097752476924,0.16776184332752675,0.7682997340970898,0.032233133834210566,0.24660446898009436,0.4691037446286065,0.07259050419409112,0.6703370576077681,0.5057785974867044,0.5975786939386798,0.44615912208504804
NEVADA,2011,0.2031818206484238,0.2507925694223542,0.15282384084852457,0.3147936384315476,0.1420306676168792,0.04729046703800441,0.057864807660651676,1.0,0.5527553726765697,0.18959624192071609,0.0
NEW HAMPSHIRE,2011,0.2671280991922816,0.2539148418444747,0.41602288095418444,0.4850599351591162,0.20455103677464986,0.5067949937106229,0.09698066593123661,0.3315804820635022,0.3025400116399568,0.3547408343868521,0.8176229993118457
NEW JERSEY,2011,0.30414237222122953,0.3367791833451715,0.7132637034831644,0.6500890965911338,0.20235532005771675,0.4477788883770194,0.1067697185547048,0.40635942054524676,0.5347875876618778,0.15916644421070317,0.9942952344219591
NEW MEXICO,2011,0.13112284330853094,0.16335334631409007,0.11946593363440017,0.37069065066558066,0.28923080339142315,0.2477277366024161,0.22596281076249242,0.8799012301041325,0.023990352491236377,0.23772151582835255,0.4954911561863497
NEW YORK,2011,0.453431395676432,0.5478124676131624,0.8719716859197929,0.6310548470927707,0.3358733092886909,0.7414551094723086,0.18912361239738265,0.7731125898021153,0.7130119968401387,0.5134647873935456,0.3482093954463177
NORTH CAROLINA,2011,0.1383827148162325,0.2550191498510446,0.88368504481925,0.6288691512290645,0.029360017206302862,0.5812531701106245,0.3580883121986417,0.8998877785090138,0.6722907362440675,0.12030167077017229,0.9446591629910458
NORTH DAKOTA,2011,0.08729894924219736,0.13424140248182131,0.00996515309203971,0.09620283284962138,0.07525906735751295,1.0,0.038050031143272385,0.6159439292141822,0.0,0.03126403663393294,0.0
OHIO,2011,0.1821487643970573,0.3800099701563774,0.2933807075284407,0.3171827903114198,0.1377442056291575,0.4062898335402691,0.24359311918553625,0.4687247394190761,0.20543532397694328,0.0,0.6597158576857779
OKLAHOMA,2011,0.43331771142035425,0.23802552375630326,0.3773607234792801,0.08723459022461849,0.513382972723539,0.7979101671902502,0.09153686072214746,0.7494352427307424,0.4225594286155874,0.46457219689764856,0.10957381927945697
OREGON,2011,0.1453981738040977,0.3106639325006794,0.648396029415811,0.11419346275852979,0.2689374253741524,0.6662496373196991,0.08926933025264121,0.6402932075058084,0.2803327056364192,0.3661954439796608,0.3728002031397047
PENNSYLVANIA,2011,0.35146171167989304,0.41788325582399605,0.7263984731849153,0.5085556368275164,0.41639818479364155,0.6479407691508906,0.1294883406993497,0.7500594844292378,0.5571128044418203,0.302053658425969,0.6853419868812569
RHODE ISLAND,2011,0.5205780155611057,0.6261671879961349,0.6629910137464321,0.5175028096428969,0.45186050264695116,0.40782594045677945,0.17638323421368632,0.8556252243412569,0.6721251166598569,0.0,0.0
SOUTH CAROLINA,2011,0.10174494338754306,0.1661091822493998,0.9938345699965181,0.4275459608679423,0.43996897430814547,0.6800968725715277,0.08772905146797882,0.13175911142669505,0.5307889708060893,0.0697120501801004,0.0
SOUTH DAKOTA,2011,0.12028032194556802,0.18322944955822726,0.2011698302866619,0.1240745841148046,0.29558519501548686,0.7962780069327446,0.3989901735994639,0.581341209485829,0.0,0.39776817854571633,0.13592107808369333
TENNESSEE,2011,0.42164106704087223,0.19828177794840937,0.11368874423362639,0.3434131510074436,0.15590540382090337,0.6486228837860564,0.10666071193280488,0.395962012865351,0.3636558772962699,0.12486219078023508,0.8820491358307835
TEXAS,2011,0.24111690828165253,0.22840440143377086,0.5671855968420025,0.2611423370937292,0.38287749202298976,0.79392946867223,0.12114172694262246,0.7646000573057827,0.6136829212958274,0.6880197247064305,0.6578403729020846
UTAH,2011,0.20072495604715587,0.1295198035153332,0.2551226175105524,0.31622673527158923,0.16673779158144517,0.17110186559891427,0.33100088838191627,0.41214849719292035,0.1245979989501092,0.4040816326530613,0.8088017141915279
